type,country,value
c_MV,Germany,2712.706616
c_ICU,Germany,1130.822779
c_GW,Germany,505.026465
c_REH,Germany,225.3354442
c_LTS,Germany,91.38516068
c_MV,France,2549.298299
c_ICU,France,1062.701369
c_GW,France,474.6022256
c_REH,France,211.7666436
c_LTS,France,85.88229479
c_MV,Spain,2264.958833
c_ICU,Spain,944.1729862
c_GW,Spain,421.6672996
c_REH,Spain,188.1461996
c_LTS,Spain,76.30531903
c_MV,Lithuania,1859.611576
c_ICU,Lithuania,775.1993546
c_GW,Lithuania,346.2050077
c_REH,Lithuania,154.470132
c_LTS,Lithuania,62.64402422
