country,Age,p_mort_m,p_mort_d
France,0,0.000345656,1.14E-05
France,1,2.50E-05,8.22E-07
France,2,1.58E-05,5.21E-07
France,3,1.17E-05,3.84E-07
France,4,1.00E-05,3.29E-07
France,5,8.33E-06,2.74E-07
France,6,5.83E-06,1.92E-07
France,7,6.67E-06,2.19E-07
France,8,5.00E-06,1.64E-07
France,9,5.83E-06,1.92E-07
France,10,6.67E-06,2.19E-07
France,11,6.67E-06,2.19E-07
France,12,6.67E-06,2.19E-07
France,13,8.33E-06,2.74E-07
France,14,1.00E-05,3.29E-07
France,15,1.17E-05,3.84E-07
France,16,1.67E-05,5.48E-07
France,17,1.83E-05,6.03E-07
France,18,2.58E-05,8.49E-07
France,19,2.83E-05,9.32E-07
France,20,3.42E-05,1.12E-06
France,21,3.17E-05,1.04E-06
France,22,3.67E-05,1.21E-06
France,23,3.42E-05,1.12E-06
France,24,3.75E-05,1.23E-06
France,25,3.67E-05,1.21E-06
France,26,3.58E-05,1.18E-06
France,27,3.92E-05,1.29E-06
France,28,4.17E-05,1.37E-06
France,29,4.00E-05,1.32E-06
France,30,4.33E-05,1.43E-06
France,31,4.92E-05,1.62E-06
France,32,4.92E-05,1.62E-06
France,33,5.42E-05,1.78E-06
France,34,5.59E-05,1.84E-06
France,35,5.92E-05,1.95E-06
France,36,6.50E-05,2.14E-06
France,37,7.59E-05,2.49E-06
France,38,8.09E-05,2.66E-06
France,39,8.75E-05,2.88E-06
France,40,9.50E-05,3.13E-06
France,41,0.000103392,3.40E-06
France,42,0.000105895,3.48E-06
France,43,0.000111735,3.67E-06
France,44,0.000125086,4.11E-06
France,45,0.000140108,4.61E-06
France,46,0.000144281,4.74E-06
France,47,0.000158471,5.21E-06
France,48,0.000179343,5.90E-06
France,49,0.000197715,6.50E-06
France,50,0.000224444,7.38E-06
France,51,0.000232798,7.65E-06
France,52,0.00026873,8.84E-06
France,53,0.000292136,9.61E-06
France,54,0.000311366,1.02E-05
France,55,0.000358205,1.18E-05
France,56,0.000370755,1.22E-05
France,57,0.000398372,1.31E-05
France,58,0.000436044,1.43E-05
France,59,0.00047457,1.56E-05
France,60,0.000511436,1.68E-05
France,61,0.000570956,1.88E-05
France,62,0.000634711,2.09E-05
France,63,0.000676679,2.23E-05
France,64,0.000728747,2.40E-05
France,65,0.000792613,2.61E-05
France,66,0.000845588,2.78E-05
France,67,0.000930581,3.06E-05
France,68,0.000999644,3.29E-05
France,69,0.001077192,3.54E-05
France,70,0.001166623,3.84E-05
France,71,0.001223196,4.02E-05
France,72,0.001336447,4.40E-05
France,73,0.001421054,4.68E-05
France,74,0.00152862,5.03E-05
France,75,0.001688934,5.56E-05
France,76,0.001902277,6.26E-05
France,77,0.002050467,6.75E-05
France,78,0.002313375,7.61E-05
France,79,0.00261049,8.59E-05
France,80,0.002826014,9.30E-05
France,81,0.003220606,0.000106048
France,82,0.003474812,0.000114433
France,83,0.004256585,0.000140231
France,84,0.004744362,0.000156338
France,85,0.00485955,0.000160143
France,86,0.005360894,0.000176707
France,87,0.005915676,0.000195047
France,88,0.006529979,0.000215365
France,89,0.007210665,0.000237893
France,90,0.007965498,0.000262893
France,91,0.008803291,0.000290662
France,92,0.009734076,0.00032154
France,93,0.010769318,0.000355917
France,94,0.011922176,0.000394239
France,95,0.013207821,0.000437027
France,96,0.014643838,0.000484884
France,97,0.016250727,0.000538514
France,98,0.018052551,0.000598752
France,99,0.020077767,0.000666585
France,100,0.02236032,0.000743201
France,101,0.024941106,0.000830036
France,102,0.027869955,0.000928851
France,103,0.031208392,0.001041838
France,104,0.035033565,0.001171761
France,105,0.039443988,0.001322182
France,106,0.044568239,0.00149779
France,107,0.050578626,0.00170493
France,108,0.057713751,0.001952486
France,109,0.06631798,0.002253436
France,110,0.076915938,0.002627828
France,111,0.090367892,0.003109076
France,112,0.108242873,0.00375932
France,113,0.133930813,0.004716202
France,114,0.177560401,0.00640614
France,115,0.354651348,0.014295667
France,116,0.99999,0.99999
France,117,0.99999,0.99999
France,118,0.99999,0.99999
France,119,0.99999,0.99999
France,120,0.99999,0.99999
Germany,0,0.000257865,8.48E-06
Germany,1,2.08E-05,6.85E-07
Germany,2,1.42E-05,4.66E-07
Germany,3,1.17E-05,3.84E-07
Germany,4,9.17E-06,3.01E-07
Germany,5,9.17E-06,3.01E-07
Germany,6,8.33E-06,2.74E-07
Germany,7,7.50E-06,2.47E-07
Germany,8,7.50E-06,2.47E-07
Germany,9,5.83E-06,1.92E-07
Germany,10,6.67E-06,2.19E-07
Germany,11,5.00E-06,1.64E-07
Germany,12,7.50E-06,2.47E-07
Germany,13,8.33E-06,2.74E-07
Germany,14,1.08E-05,3.56E-07
Germany,15,1.25E-05,4.11E-07
Germany,16,1.50E-05,4.93E-07
Germany,17,2.00E-05,6.58E-07
Germany,18,2.33E-05,7.67E-07
Germany,19,2.83E-05,9.32E-07
Germany,20,2.83E-05,9.32E-07
Germany,21,2.33E-05,7.67E-07
Germany,22,2.75E-05,9.04E-07
Germany,23,2.50E-05,8.22E-07
Germany,24,2.58E-05,8.49E-07
Germany,25,2.50E-05,8.22E-07
Germany,26,2.83E-05,9.32E-07
Germany,27,2.83E-05,9.32E-07
Germany,28,2.75E-05,9.04E-07
Germany,29,3.00E-05,9.86E-07
Germany,30,3.42E-05,1.12E-06
Germany,31,3.42E-05,1.12E-06
Germany,32,3.92E-05,1.29E-06
Germany,33,4.33E-05,1.43E-06
Germany,34,4.75E-05,1.56E-06
Germany,35,5.00E-05,1.64E-06
Germany,36,5.67E-05,1.86E-06
Germany,37,6.50E-05,2.14E-06
Germany,38,6.75E-05,2.22E-06
Germany,39,8.09E-05,2.66E-06
Germany,40,8.34E-05,2.74E-06
Germany,41,9.17E-05,3.02E-06
Germany,42,9.67E-05,3.18E-06
Germany,43,0.000108398,3.56E-06
Germany,44,0.00011841,3.89E-06
Germany,45,0.000123417,4.06E-06
Germany,46,0.000137604,4.52E-06
Germany,47,0.000157637,5.18E-06
Germany,48,0.000172664,5.68E-06
Germany,49,0.000195209,6.42E-06
Germany,50,0.000207737,6.83E-06
Germany,51,0.000232798,7.65E-06
Germany,52,0.000252016,8.29E-06
Germany,53,0.000284612,9.36E-06
Germany,54,0.00031722,1.04E-05
Germany,55,0.000343147,1.13E-05
Germany,56,0.000380797,1.25E-05
Germany,57,0.000429346,1.41E-05
Germany,58,0.000486299,1.60E-05
Germany,59,0.000526522,1.73E-05
Germany,60,0.000593601,1.95E-05
Germany,61,0.00065905,2.17E-05
Germany,62,0.000732947,2.41E-05
Germany,63,0.000816994,2.69E-05
Germany,64,0.000918795,3.02E-05
Germany,65,0.000988692,3.25E-05
Germany,66,0.001088999,3.58E-05
Germany,67,0.001200394,3.95E-05
Germany,68,0.001278958,4.21E-05
Germany,69,0.00140328,4.62E-05
Germany,70,0.001504046,4.95E-05
Germany,71,0.001668561,5.49E-05
Germany,72,0.001806168,5.94E-05
Germany,73,0.002001043,6.59E-05
Germany,74,0.002190362,7.21E-05
Germany,75,0.002349285,7.73E-05
Germany,76,0.002767574,9.11E-05
Germany,77,0.002760701,9.09E-05
Germany,78,0.003277611,0.000107928
Germany,79,0.00364468,0.000120037
Germany,80,0.004001049,0.000131797
Germany,81,0.004582062,0.000150978
Germany,82,0.004906954,0.000161709
Germany,83,0.005725216,0.000188749
Germany,84,0.006481107,0.000213748
Germany,85,0.006897369,0.000227523
Germany,86,0.007654188,0.000252581
Germany,87,0.008498044,0.000280542
Germany,88,0.00943992,0.000311779
Germany,89,0.010492429,0.000346719
Germany,90,0.011670123,0.000385857
Germany,91,0.012989872,0.00042977
Germany,92,0.014471343,0.000479131
Germany,93,0.016137612,0.000534736
Germany,94,0.018015946,0.000597527
Germany,95,0.020138838,0.000668633
Germany,96,0.022545365,0.00074942
Germany,97,0.025283044,0.000841558
Germany,98,0.028410386,0.000947116
Germany,99,0.032000504,0.001068701
Germany,100,0.036146365,0.001209651
Germany,101,0.040968658,0.001374338
Germany,102,0.046628047,0.001568636
Germany,103,0.053345125,0.001800701
Germany,104,0.061434804,0.00208231
Germany,105,0.071369883,0.002431388
Germany,106,0.083910083,0.002877193
Germany,107,0.100399894,0.003472476
Germany,108,0.123602114,0.004328198
Germany,109,0.160949435,0.005752736
Germany,110,0.25466031,0.009616429
Germany,111,0.9999,0.9999
Germany,112,0.9999,0.9999
Germany,113,0.9999,0.9999
Germany,114,0.9999,0.9999
Germany,115,0.9999,0.9999
Germany,116,0.9999,0.9999
Germany,117,0.9999,0.9999
Germany,118,0.9999,0.9999
Germany,119,0.9999,0.9999
Germany,120,0.9999,0.9999
Spain,0,0.00021609,7.11E-06
Spain,1,1.75E-05,5.75E-07
Spain,2,1.25E-05,4.11E-07
Spain,3,9.17E-06,3.01E-07
Spain,4,1.17E-05,3.84E-07
Spain,5,7.50E-06,2.47E-07
Spain,6,5.83E-06,1.92E-07
Spain,7,4.17E-06,1.37E-07
Spain,8,7.50E-06,2.47E-07
Spain,9,5.83E-06,1.92E-07
Spain,10,4.17E-06,1.37E-07
Spain,11,5.83E-06,1.92E-07
Spain,12,6.67E-06,2.19E-07
Spain,13,5.00E-06,1.64E-07
Spain,14,8.33E-06,2.74E-07
Spain,15,7.50E-06,2.47E-07
Spain,16,1.08E-05,3.56E-07
Spain,17,1.25E-05,4.11E-07
Spain,18,1.67E-05,5.48E-07
Spain,19,2.00E-05,6.58E-07
Spain,20,2.08E-05,6.85E-07
Spain,21,2.17E-05,7.12E-07
Spain,22,2.25E-05,7.40E-07
Spain,23,2.17E-05,7.12E-07
Spain,24,2.42E-05,7.95E-07
Spain,25,2.58E-05,8.49E-07
Spain,26,2.25E-05,7.40E-07
Spain,27,2.50E-05,8.22E-07
Spain,28,2.50E-05,8.22E-07
Spain,29,2.67E-05,8.77E-07
Spain,30,2.83E-05,9.32E-07
Spain,31,3.00E-05,9.86E-07
Spain,32,3.25E-05,1.07E-06
Spain,33,3.67E-05,1.21E-06
Spain,34,3.67E-05,1.21E-06
Spain,35,4.00E-05,1.32E-06
Spain,36,3.92E-05,1.29E-06
Spain,37,4.75E-05,1.56E-06
Spain,38,5.00E-05,1.64E-06
Spain,39,4.83E-05,1.59E-06
Spain,40,5.92E-05,1.95E-06
Spain,41,6.42E-05,2.11E-06
Spain,42,6.50E-05,2.14E-06
Spain,43,7.50E-05,2.47E-06
Spain,44,8.50E-05,2.80E-06
Spain,45,8.75E-05,2.88E-06
Spain,46,0.000100889,3.32E-06
Spain,47,0.000107564,3.54E-06
Spain,48,0.000122583,4.03E-06
Spain,49,0.00013677,4.50E-06
Spain,50,0.000150959,4.96E-06
Spain,51,0.000176004,5.79E-06
Spain,52,0.000186859,6.14E-06
Spain,53,0.000218596,7.19E-06
Spain,54,0.000244495,8.04E-06
Spain,55,0.00027876,9.17E-06
Spain,56,0.000303004,9.96E-06
Spain,57,0.000339801,1.12E-05
Spain,58,0.000379123,1.25E-05
Spain,59,0.000404231,1.33E-05
Spain,60,0.000446093,1.47E-05
Spain,61,0.000490488,1.61E-05
Spain,62,0.000547479,1.80E-05
Spain,63,0.000592762,1.95E-05
Spain,64,0.000640585,2.11E-05
Spain,65,0.000695991,2.29E-05
Spain,66,0.000730427,2.40E-05
Spain,67,0.000843065,2.77E-05
Spain,68,0.000898594,2.96E-05
Spain,69,0.000981953,3.23E-05
Spain,70,0.001042625,3.43E-05
Spain,71,0.001127803,3.71E-05
Spain,72,0.001232487,4.05E-05
Spain,73,0.001348287,4.44E-05
Spain,74,0.0015354,5.05E-05
Spain,75,0.001713558,5.64E-05
Spain,76,0.001834225,6.04E-05
Spain,77,0.002113564,6.96E-05
Spain,78,0.002337314,7.69E-05
Spain,79,0.002660247,8.76E-05
Spain,80,0.002943006,9.69E-05
Spain,81,0.00322147,0.000106077
Spain,82,0.003744496,0.00012333
Spain,83,0.004466436,0.00014716
Spain,84,0.005023145,0.000165547
Spain,85,0.005304458,0.000174842
Spain,86,0.00592535,0.000195366
Spain,87,0.006621624,0.000218397
Spain,88,0.007403132,0.000244266
Spain,89,0.008281197,0.000273355
Spain,90,0.009268884,0.000306105
Spain,91,0.010381339,0.000343029
Spain,92,0.0116362,0.000384729
Spain,93,0.013054127,0.000431909
Spain,94,0.014659478,0.000485405
Spain,95,0.016481175,0.000546212
Spain,96,0.018553857,0.00061553
Spain,97,0.020919406,0.000694816
Spain,98,0.023629042,0.000785861
Spain,99,0.026746221,0.000890904
Spain,100,0.030350792,0.001012777
Spain,101,0.034545076,0.001155142
Spain,102,0.039463114,0.001322836
Spain,103,0.04528528,0.001522436
Spain,104,0.052262521,0.001763191
Spain,105,0.060759102,0.002058698
Spain,106,0.07133407,0.002430123
Spain,107,0.084913474,0.002913118
Spain,108,0.103212183,0.003575052
Spain,109,0.130032776,0.004569247
Spain,110,0.177422451,0.006400661
Spain,111,0.9999,0.9999
Spain,112,0.9999,0.9999
Spain,113,0.9999,0.9999
Spain,114,0.9999,0.9999
Spain,115,0.9999,0.9999
Spain,116,0.9999,0.9999
Spain,117,0.9999,0.9999
Spain,118,0.9999,0.9999
Spain,119,0.9999,0.9999
Spain,120,0.9999,0.9999
Lithuania,0,0.000221102,7.27E-06
Lithuania,1,1.42E-05,4.66E-07
Lithuania,2,1.00E-05,3.29E-07
Lithuania,3,1.92E-05,6.30E-07
Lithuania,4,1.50E-05,4.93E-07
Lithuania,5,1.17E-05,3.84E-07
Lithuania,6,2.17E-05,7.12E-07
Lithuania,7,8.33E-06,2.74E-07
Lithuania,8,8.33E-06,2.74E-07
Lithuania,9,2.50E-06,8.22E-08
Lithuania,10,7.08E-06,2.33E-07
Lithuania,11,1.17E-05,3.84E-07
Lithuania,12,1.67E-05,5.48E-07
Lithuania,13,1.08E-05,3.56E-07
Lithuania,14,1.92E-05,6.30E-07
Lithuania,15,1.75E-05,5.75E-07
Lithuania,16,2.17E-05,7.12E-07
Lithuania,17,3.67E-05,1.21E-06
Lithuania,18,4.33E-05,1.43E-06
Lithuania,19,4.08E-05,1.34E-06
Lithuania,20,2.58E-05,8.49E-07
Lithuania,21,2.92E-05,9.59E-07
Lithuania,22,5.84E-05,1.92E-06
Lithuania,23,1.50E-05,4.93E-07
Lithuania,24,6.75E-05,2.22E-06
Lithuania,25,2.50E-05,8.22E-07
Lithuania,26,4.67E-05,1.53E-06
Lithuania,27,6.09E-05,2.00E-06
Lithuania,28,5.92E-05,1.95E-06
Lithuania,29,7.25E-05,2.38E-06
Lithuania,30,0.000100055,3.29E-06
Lithuania,31,7.92E-05,2.60E-06
Lithuania,32,6.92E-05,2.27E-06
Lithuania,33,9.76E-05,3.21E-06
Lithuania,34,0.000105895,3.48E-06
Lithuania,35,0.00014762,4.85E-06
Lithuania,36,0.000126755,4.17E-06
Lithuania,37,0.00014595,4.80E-06
Lithuania,38,0.000161811,5.32E-06
Lithuania,39,0.000208572,6.86E-06
Lithuania,40,0.000179343,5.90E-06
Lithuania,41,0.000165985,5.46E-06
Lithuania,42,0.000211913,6.97E-06
Lithuania,43,0.000282104,9.28E-06
Lithuania,44,0.000297152,9.77E-06
Lithuania,45,0.000308857,1.02E-05
Lithuania,46,0.000301332,9.91E-06
Lithuania,47,0.000377449,1.24E-05
Lithuania,48,0.000404231,1.33E-05
Lithuania,49,0.000410927,1.35E-05
Lithuania,50,0.000456143,1.50E-05
Lithuania,51,0.000466193,1.53E-05
Lithuania,52,0.000512274,1.68E-05
Lithuania,53,0.000639746,2.10E-05
Lithuania,54,0.00059444,1.95E-05
Lithuania,55,0.000664926,2.19E-05
Lithuania,56,0.000706909,2.32E-05
Lithuania,57,0.000799338,2.63E-05
Lithuania,58,0.000736308,2.42E-05
Lithuania,59,0.000876715,2.88E-05
Lithuania,60,0.000971845,3.20E-05
Lithuania,61,0.000989534,3.25E-05
Lithuania,62,0.001063701,3.50E-05
Lithuania,63,0.001192794,3.92E-05
Lithuania,64,0.001250228,4.11E-05
Lithuania,65,0.001387202,4.56E-05
Lithuania,66,0.001541333,5.07E-05
Lithuania,67,0.001598139,5.26E-05
Lithuania,68,0.001727995,5.69E-05
Lithuania,69,0.001733941,5.71E-05
Lithuania,70,0.002060696,6.78E-05
Lithuania,71,0.002099917,6.91E-05
Lithuania,72,0.002313375,7.61E-05
Lithuania,73,0.002402322,7.91E-05
Lithuania,74,0.00252648,8.32E-05
Lithuania,75,0.002597626,8.55E-05
Lithuania,76,0.00322406,0.000106162
Lithuania,77,0.003498193,0.000115204
Lithuania,78,0.00379401,0.000124964
Lithuania,79,0.004315119,0.000142164
Lithuania,80,0.00469257,0.000154627
Lithuania,81,0.00526304,0.000173473
Lithuania,82,0.005363773,0.000176802
Lithuania,83,0.006042669,0.000199246
Lithuania,84,0.007420482,0.000244841
Lithuania,85,0.007329022,0.000241812
Lithuania,86,0.008008982,0.000264334
Lithuania,87,0.008755154,0.000289066
Lithuania,88,0.009574625,0.000316249
Lithuania,89,0.010475375,0.000346152
Lithuania,90,0.011466417,0.000379084
Lithuania,91,0.012557973,0.000415393
Lithuania,92,0.013761677,0.000455477
Lithuania,93,0.015090831,0.000499794
Lithuania,94,0.016560722,0.00054887
Lithuania,95,0.018189011,0.000603318
Lithuania,96,0.019996228,0.000663852
Lithuania,97,0.022006411,0.00073131
Lithuania,98,0.024247918,0.000806691
Lithuania,99,0.026754508,0.000891184
Lithuania,100,0.029566776,0.000986232
Lithuania,101,0.032734107,0.0010936
Lithuania,102,0.036317392,0.001215478
Lithuania,103,0.04039289,0.001354633
Lithuania,104,0.045057883,0.001514618
Lithuania,105,0.050439222,0.001700112
Lithuania,106,0.05670678,0.001917439
Lithuania,107,0.06409561,0.002175448
Lithuania,108,0.072944729,0.002487053
Lithuania,109,0.083770215,0.002872188
Lithuania,110,0.097417511,0.003364034
Lithuania,111,0.115426444,0.004024197
Lithuania,112,0.141115772,0.004988758
Lithuania,113,0.18434691,0.006676772
Lithuania,114,0.350179442,0.014071856
Lithuania,115,0.999,0.999
Lithuania,116,0.999,0.999
Lithuania,117,0.999,0.999
Lithuania,118,0.999,0.999
Lithuania,119,0.999,0.999
Lithuania,120,0.999,0.999
