day,severity_group,cum_probability,severity_group_id,probability
1,mild,0,1,0
1,moderate,0,2,0
1,severe,0,3,0
2,mild,0.002,1,0.002
2,moderate,0.003,2,0.003
2,severe,0.006,3,0.006
3,mild,0.042,1,0.04
3,moderate,0.039,2,0.036
3,severe,0.018,3,0.012
4,mild,0.103,1,0.061
4,moderate,0.08,2,0.041
4,severe,0.048,3,0.03
5,mild,0.177,1,0.074
5,moderate,0.119,2,0.039
5,severe,0.066,3,0.018
6,mild,0.243,1,0.066
6,moderate,0.17,2,0.051
6,severe,0.099,3,0.033
7,mild,0.297,1,0.054
7,moderate,0.21,2,0.04
7,severe,0.125,3,0.026
8,mild,0.336,1,0.039
8,moderate,0.251,2,0.041
8,severe,0.162,3,0.037
9,mild,0.363,1,0.027
9,moderate,0.295,2,0.044
9,severe,0.189,3,0.027
10,mild,0.392,1,0.029
10,moderate,0.32,2,0.025
10,severe,0.218,3,0.029
11,mild,0.423,1,0.031
11,moderate,0.35,2,0.03
11,severe,0.248,3,0.03
12,mild,0.443,1,0.02
12,moderate,0.385,2,0.035
12,severe,0.264,3,0.016
13,mild,0.464,1,0.021
13,moderate,0.405,2,0.02
13,severe,0.289,3,0.025
14,mild,0.479,1,0.015
14,moderate,0.434,2,0.029
14,severe,0.308,3,0.019
15,mild,0.5,1,0.021
15,moderate,0.453,2,0.019
15,severe,0.323,3,0.015
16,mild,0.522,1,0.022
16,moderate,0.465,2,0.012
16,severe,0.349,3,0.026
17,mild,0.528,1,0.006
17,moderate,0.473,2,0.008
17,severe,0.363,3,0.014
18,mild,0.537,1,0.009
18,moderate,0.488,2,0.015
18,severe,0.378,3,0.015
19,mild,0.546,1,0.009
19,moderate,0.5,2,0.012
19,severe,0.389,3,0.011
20,mild,0.557,1,0.011
20,moderate,0.511,2,0.011
20,severe,0.401,3,0.012
21,mild,0.565,1,0.008
21,moderate,0.52,2,0.009
21,severe,0.416,3,0.015
22,mild,0.571,1,0.006
22,moderate,0.529,2,0.009
22,severe,0.427,3,0.011
23,mild,0.575,1,0.004
23,moderate,0.536,2,0.007
23,severe,0.433,3,0.006
24,mild,0.581,1,0.006
24,moderate,0.542,2,0.006
24,severe,0.438,3,0.005
25,mild,0.587,1,0.006
25,moderate,0.548,2,0.006
25,severe,0.444,3,0.006
26,mild,0.592,1,0.005
26,moderate,0.554,2,0.006
26,severe,0.446,3,0.002
27,mild,0.599,1,0.007
27,moderate,0.559,2,0.005
27,severe,0.448,3,0.002
28,mild,0.603,1,0.004
28,moderate,0.559,2,0.005
28,severe,0.451,3,0.003
29,mild,0.609,1,0.006
29,moderate,0.565,2,0.006
29,severe,0.455,3,0.004
30,mild,0.614,1,0.006
30,moderate,0.57,2,0.006
30,severe,0.458,3,0.004
31,mild,0.62,1,0.006
31,moderate,0.576,2,0.006
31,severe,0.462,3,0.004
32,mild,0.625,1,0.006
32,moderate,0.581,2,0.006
32,severe,0.465,3,0.004
33,mild,0.631,1,0.006
33,moderate,0.587,2,0.006
33,severe,0.469,3,0.004
34,mild,0.637,1,0.006
34,moderate,0.593,2,0.006
34,severe,0.473,3,0.004
35,mild,0.642,1,0.006
35,moderate,0.598,2,0.006
35,severe,0.476,3,0.004
36,mild,0.648,1,0.006
36,moderate,0.604,2,0.006
36,severe,0.48,3,0.004
37,mild,0.653,1,0.006
37,moderate,0.609,2,0.006
37,severe,0.483,3,0.004
38,mild,0.659,1,0.006
38,moderate,0.615,2,0.006
38,severe,0.487,3,0.004
39,mild,0.665,1,0.006
39,moderate,0.621,2,0.006
39,severe,0.491,3,0.004
40,mild,0.67,1,0.006
40,moderate,0.626,2,0.006
40,severe,0.494,3,0.004
41,mild,0.676,1,0.006
41,moderate,0.632,2,0.006
41,severe,0.498,3,0.004
42,mild,0.681,1,0.006
42,moderate,0.637,2,0.006
42,severe,0.501,3,0.004
43,mild,0.687,1,0.006
43,moderate,0.643,2,0.006
43,severe,0.505,3,0.004
44,mild,0.693,1,0.006
44,moderate,0.649,2,0.006
44,severe,0.509,3,0.004
45,mild,0.698,1,0.006
45,moderate,0.654,2,0.006
45,severe,0.512,3,0.004
46,mild,0.704,1,0.006
46,moderate,0.66,2,0.006
46,severe,0.516,3,0.004
47,mild,0.709,1,0.006
47,moderate,0.665,2,0.006
47,severe,0.519,3,0.004
48,mild,0.715,1,0.006
48,moderate,0.671,2,0.006
48,severe,0.523,3,0.004
49,mild,0.721,1,0.006
49,moderate,0.677,2,0.006
49,severe,0.527,3,0.004
50,mild,0.726,1,0.006
50,moderate,0.682,2,0.006
50,severe,0.53,3,0.004
51,mild,0.732,1,0.006
51,moderate,0.688,2,0.006
51,severe,0.534,3,0.004
52,mild,0.737,1,0.006
52,moderate,0.693,2,0.006
52,severe,0.537,3,0.004
53,mild,0.743,1,0.006
53,moderate,0.699,2,0.006
53,severe,0.541,3,0.004
54,mild,0.749,1,0.006
54,moderate,0.705,2,0.006
54,severe,0.545,3,0.004
55,mild,0.754,1,0.006
55,moderate,0.71,2,0.006
55,severe,0.548,3,0.004
56,mild,0.76,1,0.006
56,moderate,0.716,2,0.006
56,severe,0.552,3,0.004
57,mild,0.765,1,0.006
57,moderate,0.721,2,0.006
57,severe,0.555,3,0.004
58,mild,0.771,1,0.006
58,moderate,0.727,2,0.006
58,severe,0.559,3,0.004
59,mild,0.777,1,0.006
59,moderate,0.733,2,0.006
59,severe,0.563,3,0.004
60,mild,0.782,1,0.006
60,moderate,0.738,2,0.006
60,severe,0.566,3,0.004
61,mild,0.788,1,0.006
61,moderate,0.744,2,0.006
61,severe,0.57,3,0.004
